nickname,raw_value,raw_units,value,units,specifier,doi,record_method,,,experimental,state,
o-MeCZTRPT,0.03,(eV),[0.03],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2024.156529,AutoTableParser,,,1,Film,neat
LB-T,0.09,(eV),[0.09],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2023.111314,AutoTableParser,,,1,Film,
LB-Y,0.03,(eV),[0.03],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2023.111314,AutoTableParser,,,1,Film,
2tBuTPA-QxCN,0.18,[eV],[0.18],ElectronVolt^(1.0),ΔESTf,10.1016/j.cej.2023.146897,AutoTableParser,,,1,CC1=CC=CC=C1,
4tBuTPA-QxCN,0.16,[eV],[0.16],ElectronVolt^(1.0),ΔESTf,10.1016/j.cej.2023.146897,AutoTableParser,,,1,CC1=CC=CC=C1,
2BPy-mTC,0.05,eV,[0.05],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2024.107157,QuantityModelTemplateParser,,,1,CC1=CC=CC=C1,
2BPy-mTC,0.25,eV,[0.25],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2024.107157,QuantityModelTemplateParser,,,0,-,
2BPy-mTC,0.11,eV,[0.05],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2024.107157,QuantityModelTemplateParser,,,1,Film,neat
2BPy-mTC,0.2,eV,[0.05],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2024.107157,QuantityModelTemplateParser,,,1,Film,
BSeN-CZ,0.12,(eV),[0.12],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2023.111371,AutoTableParser,,,1,CC1=CC=CC=C1,
BSeN-DCZ,0.12,(eV),[0.12],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2023.111371,AutoTableParser,,,1,CC1=CC=CC=C1,
BSeN-TCZ,0.12,(eV),[0.12],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2023.111371,AutoTableParser,,,1,CC1=CC=CC=C1,
DPA-bisICZ,0.14,[eV],[0.14],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2025.113097,STSplitTableParser,,,1,CC1=CC=CC=C1,
tBuDPA-bisICZ,0.15,[eV],[0.15],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2025.113097,STSplitTableParser,,,1,CC1=CC=CC=C1,
MeODPA-bisICZ,0.16,[eV],[0.16],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2025.113097,STSplitTableParser,,,1,CC1=CC=CC=C1,
DPA-bisICZ,0.25,[eV],[0.25],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2025.113097,AutoTableParser,,,0,-,
tBuDPA-bisICZ,0.25,[eV],[0.25],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2025.113097,AutoTableParser,,,0,-,
MeODPA-bisICZ,0.24,[eV],[0.24],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2025.113097,AutoTableParser,,,0,-,
DPA-bisICZ,0.15,[eV],[0.15],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2025.113097,AutoTableParser,,,1,Film,
tBuDPA-bisICZ,0.17,[eV],[0.17],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2025.113097,AutoTableParser,,,1,Film,
MeODPA-bisICZ,0.15,[eV],[0.15],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2025.113097,AutoTableParser,,,1,Film,
"3,6-bis(4-(diphenylamino)phenyl)dipyrido[3,2-a:2',3'-c]phenazine-11,12-dicarbonitrile",0.177,eV,[0.177],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2023.147218,QuantityModelTemplateParser,,,0,-,
TRZ-pCz,0.36,[eV],[0.36],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2025.112878,AutoTableParser,,,1,CC1=CC=CC=C1,room
TRZ-mCz,0.25,[eV],[0.25],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2025.112878,AutoTableParser,,,1,CC1=CC=CC=C1,room
TRZ-ptCz,0.31,[eV],[0.31],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2025.112878,AutoTableParser,,,1,CC1=CC=CC=C1,room
TRZ-mtCz,0.19,[eV],[0.19],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2025.112878,AutoTableParser,,,1,CC1=CC=CC=C1,room
TRZ-pCz,0.34,eV,[0.34],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2025.112878,QuantityModelTemplateParser,,,0,-,
TRZ-mCz,0.22,eV,[0.22],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2025.112878,QuantityModelTemplateParser,,,0,-,
TRZ-ptCz,0.26,eV,[0.26],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2025.112878,QuantityModelTemplateParser,,,0,-,
TRZ-mtCz,0.18,eV,[0.18],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2025.112878,QuantityModelTemplateParser,,,0,-,
