,nickname,name.compound,name.smiles
26,Me-PABCZ,"N-(4-(9H-carbazol-9-yl)phenyl)-2,12-di(9H-carbazol-9-yl)-N,5,9-tris(2,6-dimethylphenyl)-9,13b-dihydro-5H-naphtho[3,2,1-de]anthracen-7-amine",CC1=CC=CC(C)=C1C2C3=C(C=C(N4C5=C(C=CC=C5)C6=CC=CC=C64)C=C3)C7C8=C(C=CC(N9C%10=C(C=CC=C%10)C%11=CC=CC=C%119)=C8)C(C%12=C(C)C=CC=C%12C)C%13=C7C2=CC(N(C%14=CC=C(N%15C%16=C(C=CC=C%16)C%17=CC=CC=C%17%15)C=C%14)C%18=C(C)C=CC=C%18C)=C%13
27,BO-Cz-Si-2,"9-(10-(3-(triphenylsilyl)phenyl)-5,9-dioxa-13b-boranaphtho[3,2,1-de]anthracen-11-yl)-9H-carbazole",C1([Si](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC(C5=C(N6C(C=CC=C7)=C7C8=C6C=CC=C8)C=CC9=C5OC%10=C%11Br9C(C=CC=C%12)=C%12OC%11=CC=C%10)=C4)=CC=CC=C1
28,BO-Cz-Si-1,"9-(12-(3-(triphenylsilyl)phenyl)-5, 9-dioxa-13b-boranaphtho[3,2,1-de]anthracen-11-yl)-9H-carbazole",C1([Si](C2=CC(C3=CC(Br(C(C=CC=C4)=C4OC5=CC=C6)C5=C6O7)=C7C=C3N8C(C=CC=C9)=C9C%10=C8C=CC=C%10)=CC=C2)(C%11=CC=CC=C%11)C%12=CC=CC=C%12)=CC=CC=C1
29,mDBNS,"11,13-dithia-3a2-aza-6b,17b-diboraindeno[4',3',2',1':3,4,5]phenanthro[2,1,10,9-fghi]pentacene",C12=CC=CC=C1SC3=C4B2C5=CC=CC(C6=C7C8=CC=C6)=C5N7C4=C(B8C(C=CC=C9)=C9S%10)C%10=C3
30,mDBNStBu,"2,5-di-tert-butyl-11,13-dithia-3a2-aza-6b,17b-diboraindeno[4',3',2',1':3,4,5]phenanthro[2,1,10,9-fghi]pentacene",CC(C)(C)C1=CC(C2=C3C4=CC(C(C)(C)C)=C2)=C(C5=C1)N3C6=C(B4C(C=CC=C7)=C7S8)C8=CC9=C6B5C%10=CC=CC=C%10S9
31,DM282,"9-((3-((3-iodo-9H-carbazol-9-yl)methyl)oxetan-3-yl)methyl)-9H-3,9':3',9''-tercarbazole",IC(C=C1)=CC2=C1N(C3=C2C=CC=C3)CC4(COC4)CN(C5=C6C=CC=C5)C7=C6C=C(N8C9=C(C=CC=C9)C%10=C8C=CC(N%11C%12=C(C=CC=C%12)C%13=C%11C=CC=C%13)=C%10)C=C7
32,NKP,(4-(10H-phenoxazin-10-yl)phenyl)(4-(naphthalen-2-yloxy)phenyl)methanone,O=C(C1=CC=C(N2C(C=CC=C3)=C3OC4=C2C=CC=C4)C=C1)C(C=C5)=CC=C5OC6=CC7=CC=CC=C7C=C6
33,R-DNKP,(4-(2-(2-(4-(4-(10H-phenoxazin-10-yl)benzoyl)phenoxy)naphthalen-1-yl)phenoxy)phenyl)(4-(10H-phenoxazin-10-yl)phenyl)methanone,O=C(C1=CC=C(OC2=CC=C(C=CC=C3)C3=C2C4=CC=CC=C4OC5=CC=C(C(C6=CC=C(N7C(C=CC=C8)=C8OC9=C7C=CC=C9)C=C6)=O)C=C5)C=C1)C(C=C%10)=CC=C%10N%11C%12=C(C=CC=C%12)OC%13=C%11C=CC=C%13
34,(R)-FAC-SIC,"(R)-N-(5-oxido-2-(spiro[fluorene-9,4'-piperidin]-1'-yl)-5l4-dibenzo[b,d]thiophen-5-ylidene)benzamide",O=[S@]1(C(C=C2)=C(C3=C1C=CC=C3)C=C2N(CC4)CCC54C6=C(C=CC=C6)C7=C5C=CC=C7)=NC(C8=CC=CC=C8)=O
35,None,"10-(3,6-di-tert-butyl-9-(4-(4,6-diphenyl-1,3,5-triazin-2-yl)phenyl)-9H-carbazol-1-yl)indolo[3,2,1-kl]phenoxazine",CC(C)(C)C1=CC2=C(C=C1)N(C3=CC=C(C4=NC(C5=CC=CC=C5)=NC(C6=CC=CC=C6)=N4)C=C3)C7=C2C=C(C(C)(C)C)C=C7C8=CC=C(N9C(C=CC=C%10)=C%10OC%11=C9C%12=CC=C%11)C%12=C8
36,None,"10-(3,6-di-tert-butyl-1-(4-(4,6-diphenyl-1,3,5-triazin-2-yl)phenyl)-9H-carbazol-9-yl)indolo[3,2,1-kl]phenoxazine",CC(C)(C)C1=CC2=C(C=C1)N(C3=CC=C(N4C(C=CC=C5)=C5OC6=C4C7=CC=C6)C7=C3)C8=C2C=C(C(C)(C)C)C=C8C9=CC=C(C%10=NC(C%11=CC=CC=C%11)=NC(C%12=CC=CC=C%12)=N%10)C=C9
37,None,"10-(1-(13bl3-oxa-5l2,9l2-diboranaphtho[3,2,1-kl]anthracen-7-yl)-3,6-di-tert-butyl-9H-carbazol-9-yl)indolo[3,2,1-kl]phenoxazine",CC(C)(C)C1=CC2=C(C=C1)N(C3=CC=C(N4C(C=CC=C5)=C5OC6=C4C7=CC=C6)C7=C3)C8=C2C=C(C(C)(C)C)C=C8C9=CC([B]C(C=CC=C%10)=C%10O%11C(C=CC=C%12)=C%12[B]%13)=C%11C%13=C9
38,BNCz-aDMAC,None,CC(C)(C)C1=CC2=C3N(C4=CC(N5C6=CC=CC=C6C7([C@@H]8CC9CC(C8)C[C@H]7C9)C%10=C5C=CC=C%10)=CC(N%11C%12=CC=C(C(C)(C)C)C=C%12C%13=CC(C(C)(C)C)=CC%14=C%11%13)=C4B%14C3=C1)C%15=C2C=C(C(C)(C)C)C=C%15
39,BNCz-PaDMAC,None,CC(C)(C)C1=CC2=C3N(C4=CC(N5C6=CC=CC=C6C7([C@H]8CC9CC(C8)CC7C9)C%10=C5C=CC=C%10)=CC(N%11C%12=CC=C(C(C)(C)C)C=C%12C%13=CC(C(C)(C)C)=CC%14=C%11%13)=C4B%14C3=C1)C%15=C2C=C(C(C)(C)C)C=C%15
40,TrzSpiroAc-tmCP,"9,9',9'',9'''-((10-(4-(4,6-diphenyl-1,3,5-triazin-2-yl)phenyl)-2,7-dimethyl-10H-spiro[anthracene-9,9'-fluorene]-2',7'-diyl)bis(benzenene-5,1,3-triyl))tetrakis(3,6-di-tert-butyl-9H-carbazole)",CC(C=C1)=CC2=C1C(C(C=CC(C)=C3)=C3C24C(C=C(C5=CC(N6C(C=CC(C(C)(C)C)=C7)=C7C8=C6C=CC(C(C)(C)C)=C8)=CC(N9C(C=CC(C(C)(C)C)=C%10)=C%10C%11=C9C=CC(C(C)(C)C)=C%11)=C5)C=C%12)=C%12C%13=C4C=C(C%14=CC(N%15C(C=CC(C(C)(C)C)=C%16)=C%16C%17=C%15C=CC(C(C)(C)C)=C%17)=CC(N%18C(C=CC(C(C)(C)C)=C%19)=C%19C%20=C%18C=CC(C(C)(C)C)=C%20)=C%14)C=C%13)C(C=C%21)=CC=C%21C%22=NC(C%23=CC=CC=C%23)=NC(C%24=CC=CC=C%24)=N%22
41,TrzSpiroAc-tmCPCN,"9,9'-((10-(4-(4,6-diphenyl-1,3,5-triazin-2-yl)phenyl)-2,7-dimethyl-10H-spiro[anthracene-9,9'-fluorene]-2',7'-diyl)bis(5-(3,6-di-tert-butyl-9H-carbazol-9-yl)-3,1-phenylene))bis(9H-carbazole-3-carbonitrile)",CC(C=C1)=CC2=C1C(C(C=CC(C)=C3)=C3C24C(C=C(C5=CC(N6C(C=CC=C7)=C7C8=C6C=CC(C#N)=C8)=CC(N9C(C=CC(C(C)(C)C)=C%10)=C%10C%11=C9C=CC(C(C)(C)C)=C%11)=C5)C=C%12)=C%12C%13=C4C=C(C%14=CC(N%15C(C=CC(C(C)(C)C)=C%16)=C%16C%17=C%15C=CC(C(C)(C)C)=C%17)=CC(N%18C(C=CC(C#N)=C%19)=C%19C%20=C%18C=CC=C%20)=C%14)C=C%13)C(C=C%21)=CC=C%21C%22=NC(C%23=CC=CC=C%23)=NC(C%24=CC=CC=C%24)=N%22
42,4OCzCN,"2,3,5,6-tetrakis(4-methoxy-9H-carbazol-9-yl)benzonitrile",COC1=CC=CC2=C1C(C=CC=C3)=C3N2C4=C(C#N)C(N5C(C=CC=C6)=C6C7=C5C=CC=C7OC)=C(N8C(C=CC=C9OC)=C9C%10=C8C=CC=C%10)C=C4N%11C(C=CC=C%12)=C%12C%13=C%11C=CC=C%13OC
43,Cz-4CzCN,"2,3,5,6-tetrakis(4-((6-(9H-carbazol-9-yl)hexyl)oxy)-9H-carbazol-9-yl)benzonitrile",N#CC1=C(N2C(C=CC=C3OCCCCCCN4C(C=CC=C5)=C5C6=C4C=CC=C6)=C3C7=C2C=CC=C7)C(N8C(C=CC=C9)=C9C%10=C8C=CC=C%10OCCCCCCN%11C(C=CC=C%12)=C%12C%13=C%11C=CC=C%13)=CC(N%14C(C=CC=C%15OCCCCCCN%16C(C=CC=C%17)=C%17C%18=C%16C=CC=C%18)=C%15C%19=C%14C=CC=C%19)=C1N%20C(C=CC=C%21)=C%21C%22=C%20C=CC=C%22OCCCCCCN%23C(C=CC=C%24)=C%24C%25=C%23C=CC=C%25
44,mCP-4CzCN,"2,3,5,6-tetrakis(4-((6-((9-(3-(9H-carbazol-9-yl)phenyl)-9H-carbazol-4-yl)oxy)hexyl)oxy)-9H-carbazol-9-yl)benzonitrile",N#CC1=C(N2C(C=CC=C3OCCCCCCOC4=CC=CC5=C4C6=C(C=CC=C6)N5C7=CC(N8C(C=CC=C9)=C9C%10=C8C=CC=C%10)=CC=C7)=C3C%11=C2C=CC=C%11)C(N%12C(C=CC=C%13)=C%13C%14=C%12C=CC=C%14OCCCCCCOC%15=CC=CC%16=C%15C%17=C(C=CC=C%17)N%16C%18=CC(N%19C(C=CC=C%20)=C%20C%21=C%19C=CC=C%21)=CC=C%18)=CC(N%22C(C=CC=C%23OCCCCCCOC%24=CC=CC%25=C%24C%26=C(C=CC=C%26)N%25C%27=CC(N%28C(C=CC=C%29)=C%29C%30=C%28C=CC=C%30)=CC=C%27)=C%23C%31=C%22C=CC=C%31)=C1N%32C(C=CC=C%33)=C%33C%34=C%32C=CC=C%34OCCCCCCOC%35=CC=CC%36=C%35C%37=C(C=CC=C%37)N%36C%38=CC(N%39C(C=CC=C%40)=C%40C%41=C%39C=CC=C%41)=CC=C%38
45,TCz-4CzCN,"2,3,5,6-tetrakis(4-((6-(4-(9'H-[9,3':6',9''-tercarbazol]-9'-yl)phenoxy)hexyl)oxy)-9H-carbazol-9-yl)benzonitrile",N#CC1=C(N2C(C=CC=C3OCCCCCCOC4=CC=C(N5C(C=CC(N6C(C=CC=C7)=C7C8=C6C=CC=C8)=C9)=C9C%10=C5C=CC(N%11C(C=CC=C%12)=C%12C%13=C%11C=CC=C%13)=C%10)C=C4)=C3C%14=C2C=CC=C%14)C(N%15C(C=CC=C%16)=C%16C%17=C%15C=CC=C%17OCCCCCCOC%18=CC=C(N%19C(C=CC(N%20C(C=CC=C%21)=C%21C%22=C%20C=CC=C%22)=C%23)=C%23C%24=C%19C=CC(N%25C(C=CC=C%26)=C%26C%27=C%25C=CC=C%27)=C%24)C=C%18)=CC(N%28C(C=CC=C%29OCCCCCCOC%30=CC=C(N%31C(C=CC(N%32C(C=CC=C%33)=C%33C%34=C%32C=CC=C%34)=C%35)=C%35C%36=C%31C=CC(N%37C(C=CC=C%38)=C%38C%39=C%37C=CC=C%39)=C%36)C=C%30)=C%29C%40=C%28C=CC=C%40)=C1N%41C(C=CC=C%42)=C%42C%43=C%41C=CC=C%43OCCCCCCOC%44=CC=C(N%45C(C=CC(N%46C(C=CC=C%47)=C%47C%48=C%46C=CC=C%48)=C%49)=C%49C%50=C%45C=CC(N%51C(C=CC=C%52)=C%52C%53=C%51C=CC=C%53)=C%50)C=C%44
46,BTP-S(2O-1B),"tris(2,6-dimethyl-4-(10H-phenothiazin-10-yl)phenyl)borane",CC1=CC(N2C(C=CC=C3)=C3SC4=C2C=CC=C4)=CC(C)=C1B(C5=C(C)C=C(N6C(C=CC=C7)=C7SC8=C6C=CC=C8)C=C5C)C9=C(C)C=C(N%10C(C=CC=C%11)=C%11SC%12=C%10C=CC=C%12)C=C9C
47,BTP-Se,"tris(2,6-dimethyl-4-(10H-phenoselenazin-10-yl)phenyl)borane",CC1=CC(N2C(C=CC=C3)=C3[Se]C4=C2C=CC=C4)=CC(C)=C1B(C5=C(C)C=C(N6C(C=CC=C7)=C7[Se]C8=C6C=CC=C8)C=C5C)C9=C(C)C=C(N%10C(C=CC=C%11)=C%11[Se]C%12=C%10C=CC=C%12)C=C9C
